Emoji in emoji.txt: 5225
Annotation entries in CLDR: 3948
Emoji missing from CLDR annotations: 1277

0023 FE0F 20E3	#️⃣
002A FE0F 20E3	*️⃣
0030 FE0F 20E3	0️⃣
0031 FE0F 20E3	1️⃣
0032 FE0F 20E3	2️⃣
0033 FE0F 20E3	3️⃣
0034 FE0F 20E3	4️⃣
0035 FE0F 20E3	5️⃣
0036 FE0F 20E3	6️⃣
0037 FE0F 20E3	7️⃣
0038 FE0F 20E3	8️⃣
0039 FE0F 20E3	9️⃣
00A9 FE0F	©️
00AE FE0F	®️
203C FE0F	‼️
2049 FE0F	⁉️
2122 FE0F	™️
2139 FE0F	ℹ️
2194 FE0F	↔️
2195 FE0F	↕️
2196 FE0F	↖️
2197 FE0F	↗️
2198 FE0F	↘️
2199 FE0F	↙️
21A9 FE0F	↩️
21AA FE0F	↪️
2328 FE0F	⌨️
23CF FE0F	⏏️
23ED FE0F	⏭️
23EE FE0F	⏮️
23EF FE0F	⏯️
23F1 FE0F	⏱️
23F2 FE0F	⏲️
23F8 FE0F	⏸️
23F9 FE0F	⏹️
23FA FE0F	⏺️
24C2 FE0F	Ⓜ️
25AA FE0F	▪️
25AB FE0F	▫️
25B6 FE0F	▶️
25C0 FE0F	◀️
25FB FE0F	◻️
25FC FE0F	◼️
2600 FE0F	☀️
2601 FE0F	☁️
2602 FE0F	☂️
2603 FE0F	☃️
2604 FE0F	☄️
260E FE0F	☎️
2611 FE0F	☑️
2618 FE0F	☘️
261D FE0F	☝️
2620 FE0F	☠️
2622 FE0F	☢️
2623 FE0F	☣️
2626 FE0F	☦️
262A FE0F	☪️
262E FE0F	☮️
262F FE0F	☯️
2638 FE0F	☸️
2639 FE0F	☹️
263A FE0F	☺️
2640 FE0F	♀️
2642 FE0F	♂️
265F FE0F	♟️
2660 FE0F	♠️
2663 FE0F	♣️
2665 FE0F	♥️
2666 FE0F	♦️
2668 FE0F	♨️
267B FE0F	♻️
267E FE0F	♾️
2692 FE0F	⚒️
2694 FE0F	⚔️
2695 FE0F	⚕️
2696 FE0F	⚖️
2697 FE0F	⚗️
2699 FE0F	⚙️
269B FE0F	⚛️
269C FE0F	⚜️
26A0 FE0F	⚠️
26A7 FE0F	⚧️
26B0 FE0F	⚰️
26B1 FE0F	⚱️
26C8 FE0F	⛈️
26CF FE0F	⛏️
26D1 FE0F	⛑️
26D3 FE0F	⛓️
26D3 FE0F 200D 1F4A5	⛓️‍💥
26E9 FE0F	⛩️
26F0 FE0F	⛰️
26F1 FE0F	⛱️
26F4 FE0F	⛴️
26F7 FE0F	⛷️
26F8 FE0F	⛸️
26F9 200D 2640 FE0F	⛹‍♀️
26F9 200D 2642 FE0F	⛹‍♂️
26F9 FE0F	⛹️
26F9 FE0F 200D 2640	⛹️‍♀
26F9 FE0F 200D 2640 FE0F	⛹️‍♀️
26F9 FE0F 200D 2642	⛹️‍♂
26F9 FE0F 200D 2642 FE0F	⛹️‍♂️
26F9 1F3FB 200D 2640 FE0F	⛹🏻‍♀️
26F9 1F3FB 200D 2642 FE0F	⛹🏻‍♂️
26F9 1F3FC 200D 2640 FE0F	⛹🏼‍♀️
26F9 1F3FC 200D 2642 FE0F	⛹🏼‍♂️
26F9 1F3FD 200D 2640 FE0F	⛹🏽‍♀️
26F9 1F3FD 200D 2642 FE0F	⛹🏽‍♂️
26F9 1F3FE 200D 2640 FE0F	⛹🏾‍♀️
26F9 1F3FE 200D 2642 FE0F	⛹🏾‍♂️
26F9 1F3FF 200D 2640 FE0F	⛹🏿‍♀️
